"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.588411500E0,-1.300476310E-1,-4.873639628E-1,-3.846953344E-1,6.343709632E-1
1.598339500E0,-1.956526597E-1,-7.279589067E-1,-6.164087963E-1,9.737370987E-1
1.608266500E0,-1.509710882E-1,-1.026796358E0,-3.973756063E-1,1.111310219E0
1.618194500E0,-9.215036452E-2,-1.228995560E0,-3.975796741E-1,1.294987017E0
1.628122500E0,-2.455830574E-2,-1.394952112E0,-7.072417831E-1,1.564188430E0
1.638049500E0,7.477302432E-2,-1.632713203E0,-1.088686650E0,1.963818227E0
1.647977500E0,2.021689430E-1,-1.769841373E0,-1.603631052E0,2.396840278E0
1.657904500E0,2.333621574E-1,-1.745452491E0,-2.128283587E0,2.762363719E0
1.667832500E0,2.064129252E-1,-1.635506271E0,-2.620211594E0,3.095641429E0
1.677760500E0,2.450398511E-1,-1.482722766E0,-3.156306544E0,3.495823555E0
1.687687500E0,3.187133796E-1,-1.289430627E0,-3.701647112E0,3.932734532E0
1.697615500E0,4.297026689E-1,-1.135229318E0,-3.950668917E0,4.132937802E0
1.707542500E0,4.906476860E-1,-1.049122343E0,-4.083114783E0,4.244198296E0
1.717470500E0,4.044118533E-1,-9.941645090E-1,-4.313202719E0,4.444730556E0
1.727397500E0,2.780259680E-1,-1.018693725E0,-4.346590905E0,4.473017756E0
1.737325500E0,5.214905061E-2,-1.120507490E0,-3.942529593E0,4.098999408E0
1.747253500E0,-1.643889863E-1,-1.263566199E0,-3.582912381E0,3.802746956E0
1.757180500E0,-1.071326852E-1,-1.450177310E0,-3.761881034E0,4.033142764E0
1.767108500E0,5.466751948E-2,-1.532602146E0,-4.209649115E0,4.480290565E0
1.777035500E0,1.915341733E-1,-1.489541350E0,-4.554267633E0,4.795495016E0
1.786963500E0,2.415721598E-1,-1.327496586E0,-4.850948339E0,5.035107156E0
1.796890500E0,2.796376799E-1,-1.168625105E0,-5.125237716E0,5.264213476E0
1.806818500E0,2.105262221E-1,-9.468523483E-1,-5.369154902E0,5.456067725E0
1.816746500E0,1.123611192E-1,-6.170379567E-1,-5.655943873E0,5.690611738E0
1.826673500E0,1.037743369E-1,-3.236195590E-1,-5.663576828E0,5.673764290E0
1.836601500E0,-9.717078388E-2,1.019286633E-2,-5.420315700E0,5.421196210E0
1.846528500E0,-3.989890724E-1,2.896049899E-1,-5.213986756E0,5.237243666E0
1.856456500E0,-6.295994570E-1,3.977721937E-1,-4.885048131E0,4.941488990E0
1.866384500E0,-7.602087130E-1,4.320253292E-1,-4.594597633E0,4.677060037E0
1.876311500E0,-7.423838416E-1,4.515629232E-1,-4.377465373E0,4.462874179E0
1.886239500E0,-6.976246483E-1,4.760668498E-1,-4.279132748E0,4.361685095E0
1.896166500E0,-6.887765685E-1,5.560634843E-1,-4.208676138E0,4.300764420E0
1.906094500E0,-7.471932495E-1,6.345506600E-1,-4.041628788E0,4.158811796E0
1.916022500E0,-7.856981879E-1,7.913852629E-1,-4.063839437E0,4.214072050E0
1.925949500E0,-7.830970540E-1,1.046435547E0,-4.191456673E0,4.390509923E0
1.935877500E0,-8.006169201E-1,1.144154508E0,-3.827302607E0,4.074103856E0
1.945804500E0,-8.440624633E-1,1.224903094E0,-3.231877128E0,3.557788471E0
1.955732500E0,-8.429085883E-1,1.267789351E0,-2.548635827E0,2.968725198E0
1.965659500E0,-7.482013095E-1,1.230115156E0,-1.516497014E0,2.091112548E0
1.975587500E0,-6.616021454E-1,1.213565635E0,-5.380865121E-1,1.483238364E0
1.985515500E0,-6.623679113E-1,1.092121890E0,6.020000875E-1,1.412043051E0
1.995442500E0,-7.738341142E-1,1.015322805E0,1.543001273E0,2.002636403E0
2.005370500E0,-6.518440926E-1,9.864121243E-1,2.332857782E0,2.615365181E0
2.015297500E0,-1.161888528E-1,8.834306699E-1,3.119440434E0,3.244203788E0
2.025225500E0,3.381729864E-1,8.191440421E-1,3.748041844E0,3.851386192E0
2.035153500E0,7.456761894E-1,9.389537832E-1,4.338310663E0,4.500956187E0
2.045080500E0,9.492151351E-1,1.419086202E0,4.957033203E0,5.242803944E0
2.055008500E0,7.268421616E-1,2.128152463E0,6.237241893E0,6.630272911E0
2.064935500E0,4.557056755E-1,2.609294550E0,8.042708890E0,8.467659180E0
2.074863500E0,4.806573527E-1,2.693843241E0,1.005249105E1,1.041827237E1
2.084791500E0,6.816512977E-1,2.256562142E0,1.185916374E1,1.209117388E1
2.094718500E0,1.138529925E0,1.489097254E0,1.312869951E1,1.326184044E1
2.104646500E0,1.854490637E0,9.217930824E-1,1.363377030E1,1.379016065E1
2.114573500E0,2.512806428E0,5.848499116E-1,1.348496334E1,1.372954777E1
2.124501500E0,3.020928006E0,4.303889859E-1,1.278975513E1,1.314872910E1
2.134428500E0,3.168811984E0,5.415116648E-1,1.158511644E1,1.202287516E1
2.144356500E0,3.012346340E0,6.111562425E-1,1.011150115E1,1.056835834E1
2.154284500E0,2.652019570E0,4.899244586E-1,8.506224107E0,8.923512891E0
2.164211500E0,2.140153434E0,2.892231667E-1,6.791221722E0,7.126331402E0
2.174139500E0,1.552762177E0,7.586689219E-2,5.267760674E0,5.492370043E0
2.184066500E0,9.959074909E-1,-8.608548626E-2,3.965005705E0,4.089072350E0
2.193994500E0,5.737995511E-1,-2.462255202E-1,2.841974264E0,2.909757833E0
2.203921500E0,2.511355734E-1,-3.588825086E-1,1.858478438E0,1.909399863E0
2.213849500E0,-2.732396565E-2,-3.363356450E-1,8.765286165E-1,9.392394161E-1
2.223777500E0,-2.261219888E-1,-3.758294937E-1,1.999116254E-1,4.820203524E-1
2.233704500E0,-3.546984603E-1,-4.137076105E-1,-5.261500061E-1,7.574950915E-1
2.243632500E0,-3.876627964E-1,-3.771052100E-1,-1.322338464E0,1.428660141E0
2.253559500E0,-4.047702145E-1,-3.647639304E-1,-1.828545372E0,1.908001527E0
2.263487500E0,-4.141071946E-1,-3.655217296E-1,-2.336615202E0,2.401012600E0
2.273415500E0,-3.676557440E-1,-3.335228419E-1,-3.067919447E0,3.107818844E0
2.283342500E0,-2.764095783E-1,-3.644723006E-1,-3.728821462E0,3.756774122E0
2.293270500E0,-2.101560934E-1,-4.184115493E-1,-4.252347822E0,4.278048131E0
2.303197500E0,-1.488076915E-1,-4.866020706E-1,-4.726577477E0,4.753888929E0
2.313125500E0,-1.282190605E-1,-5.554504037E-1,-4.955903521E0,4.988581460E0
2.323053500E0,-5.371676221E-2,-6.528311026E-1,-4.879913691E0,4.923680693E0
2.332980500E0,7.265143521E-2,-6.678659020E-1,-4.765529289E0,4.812649218E0
2.342908500E0,1.177863121E-1,-6.052309665E-1,-4.612243361E0,4.653274864E0
2.352835500E0,1.360316715E-1,-6.082567544E-1,-4.531264102E0,4.573929957E0
2.362763500E0,1.634016109E-1,-6.817495309E-1,-4.607977232E0,4.661001682E0
2.372691500E0,1.924468506E-1,-7.370685764E-1,-4.806735787E0,4.866725265E0
2.382618500E0,1.507512329E-1,-6.975134781E-1,-5.045202198E0,5.095421102E0
2.392547500E0,2.054346129E-2,-6.435039166E-1,-5.134948187E0,5.175153352E0
2.402474500E0,-5.979501598E-2,-6.050002939E-1,-5.258330285E0,5.293357931E0
2.412402500E0,-1.669036545E-2,-5.713384581E-1,-5.427993679E0,5.458005275E0
2.422329500E0,6.676365450E-2,-5.763042060E-1,-5.371216630E0,5.402457960E0
2.432257500E0,1.253459579E-1,-5.601205748E-1,-5.211544958E0,5.243057078E0
2.442185500E0,1.698306245E-1,-4.874221426E-1,-4.872615781E0,4.899878298E0
2.452112500E0,1.661375231E-1,-3.504847375E-1,-4.588694869E0,4.605058287E0
